DEPARTMENT,CATEGORY,SUBCATEGORY,PREFIX
2P SUIT,FORMAL,BASIC,
2P SUIT,DESIGNER,TUXIDO,
2P SUIT,LINEN,BASIC,
5P SUIT,FORMAL,BASIC,
5P SUIT,DESIGNER,EMB,
5P SUIT,DESIGNER,PLAIN TUXIDO,
5P SUIT,DESIGNER,FASHION,
JODHPURI,FORMAL,BASIC,
JODHPURI,DESIGNER,SHRUG,
JODHPURI,DESIGNER,COTI-LR,
JODHPURI,DESIGNER,FASHION,
JODHPURI,LINEN,BASIC,
DARK INDO,DESIGNER,SHRUG,
DARK INDO,DESIGNER,COTI-LR,
DARK INDO,DESIGNER,FASHION,
DARK INDO,DESIGNER,SHORT SHRUG,
DARK INDO,PLAIN,BASIC,
SHERWANI,SHERWANI,BASIC,
SHERWANI,SHERWANI,SHRUG,
KURTA PAJAMA,BASIC,COTTON PRINT,
KURTA PAJAMA,BASIC,COTTON PLAIN,
KURTA PAJAMA,BASIC,PINTEK,
KURTA PAJAMA,DESIGNER,SHIFLI,
KURTA PAJAMA,DESIGNER,PRINT,
KURTA PAJAMA,DESIGNER,SHAWL,
KURTA PAJAMA,DESIGNER,FASHION,
PATHANI,PATHANI,COTTON,
PATHANI,PATHANI,LINEN,
PATHANI,PATHANI,SHIFLI,
PATHANI,PATHANI,FASHION,
KURTA COTI,DESIGNER,LINEN,
KURTA COTI,DESIGNER,FASHION,
SEMI INDO,SEMI INDO,SEMI INDO,
KURTA SHRUG,KURTA SHRUG,KURTA SHRUG,
COTI,BASIC,TWEED,
COTI,BASIC,LINEN,
COTI,BASIC,PLAIN,
COTI,BASIC,ASSORTED,
COTI,DESIGNER,FASHION,
COTI,DESIGNER,VELVET,
KIDS,5P SUIT,5P SUIT,
KIDS,DARK INDO,INDO,
KIDS,DARK INDO,SHRUG INDO,
KIDS,JODHPURI,JODHPURI,
KIDS,KURTA PAJAMA,KURTA PAJAMA,
KIDS,KURTA COTI,KURTA COTI,
KIDS,KURTA COTI,KURTA SHRUG,
KIDS,SHERWANI,SHERWANI,
KIDS,WAIST COAT SUIT,WAIST COAT SUIT,
WAIST COAT SUIT,R NECK,LINEN,
WAIST COAT SUIT,R NECK,BASIC,
WAIST COAT SUIT,R NECK,FASHION,
WAIST COAT SUIT,V NECK,V NECK,
WOOLEN,JACKET,FULL SLEEVES,
WOOLEN,JACKET,HALF SLEEVES,
WOOLEN,SWEATER,HUDY,
WOOLEN,SWEATER,T NECK,
WOOLEN,SWEATER,R & V NECK,
TROUSER,SIDE CREASE,STRETCHABLE,
TROUSER,SIDE CREASE,NON STRETCHABLE,
TROUSER,FRONT CREASE,STRETCHABLE,
TROUSER,FRONT CREASE,NON STRETCHABLE,
BLAZER,V NECK,TWEED,
BLAZER,V NECK,LINEN,
BLAZER,V NECK,PLAIN,
BLAZER,V NECK,FASHION,
BLAZER,V NECK,MUFFLER,
BLAZER,R NECK,TRENCH,
BLAZER,R NECK,FASHION,
T SHIRT,HALF SLEEVES,COLLAR,
T SHIRT,HALF SLEEVES,NON COLLAR,
SHIRT,FULL SLEEVES,PLAIN,
SHIRT,FULL SLEEVES,FORMAL,
SHIRT,FULL SLEEVES,FASHION,
SHIRT,FULL SLEEVES,CUFFLING,
SHIRT,FULL SLEEVES,PINTEK,
SHIRT,FULL SLEEVES,CHINESE,
SHIRT,FULL SLEEVES,LINEN,
SHIRT,HALF SLEEVES,PLAIN,
SHIRT,HALF SLEEVES,LINEN,
SHIRT,HALF SLEEVES,FASHION,
JEANS,JEANS,JEANS,
ACCESSORIES,SAFA STALL SET,SAFA STALL SET,
ACCESSORIES,MALA,MALA,
ACCESSORIES,STALL,STALL,
ACCESSORIES,PAJAMI,PAJAMI,
ACCESSORIES,KALANGI,KALANGI,
ACCESSORIES,HERAM,HERAM,
ACCESSORIES,ANARKALI KURTA,ANARKALI KURTA,